path	text
wav/HS-ze-namen-mit-n-dikke-smok-ofschaaid-van-jonker.wav	ze namen mit n dikke smok ofschaaid van jonker
wav/RB-van-de-schoel-noar-de-bomen-veur-t-schoelplein-hing-t-ien-n-ogenblikje-tied-vol-met-slingers-van-pepier.wav	van de schoel noar de bomen veur t schoelplein hing t ien n ogenblikje tied vol met slingers van pepier
wav/GD-opa-lagde-nait.wav	opa lagde nait
wav/HS-mor-gain-spoor-van-n-doader-vanzulf.wav	mor gain spoor van n doader vanzulf
wav/HS-vraauwen-mit-laange-widde-klaiden-aan.wav	vraauwen mit laange widde klaiden aan
wav/HS-dat-wos-ze-nait-zeker.wav	dat wos ze nait zeker
wav/GD-wiert-ging-mit-klaaine-stappies-noar-de-keunk-tou.wav	wiert ging mit klaaine stappies noar de keunk tou
wav/RB-ien-die-tied-ging-der-gien-een-doef-ien-en-der-kwam-ok-gien-een-uut.wav	ien die tied ging der gien een doef ien en der kwam ok gien een uut
wav/RB-al-wel-n-haalf-uur-hadden-ze-der-zeten.wav	al wel n haalf uur hadden ze der zeten
wav/GD-binnen-twij-tellen-lag-e-zulf-ook-in-zien-waarme-nussie.wav	binnen twij tellen lag e zulf ook in zien waarme nussie
wav/HS-bist-doe-gek.wav	bist doe gek
wav/HS-en-pebaaierde-jonker-aan-te-hoalen.wav	en pebaaierde jonker aan te hoalen
wav/GD-op-n-flewailen-kuzzentje-lag-n-golden-medallie-aan-n-rood-zieden-lint.wav	op n flewailen kuzzentje lag n golden medallie aan n rood zieden lint
wav/HS-dat-liekt-ja-haildaal-nait.wav	dat liekt ja haildaal nait
wav/HS-dat-ze-ook-wel-noar-boeten-konden.wav	dat ze ook wel noar boeten konden
wav/HS-t-is-net-of-ze-mie-aankieken.wav	t is net of ze mie aankieken
wav/HS-t-zol-din-mor-n-koale-boudel-worden.wav	t zol din mor n koale boudel worden
wav/HS-wat-zol-ze-doun.wav	wat zol ze doun
wav/HS-niks-te-zain-vanzulf.wav	niks te zain vanzulf
wav/GD-mor-hou-paulien-ook-keek-was-gain-moane-te-zain.wav	mor hou paulien ook keek was gain moane te zain
wav/GD-ze-trok-gedienen-nait-dicht.wav	ze trok gedienen nait dicht
wav/HS-doar-ston-t-wichtje-allain-in-t-duuster.wav	doar ston t wichtje allain in t duuster
wav/RB-tikkie-doun-we-zo-voak.wav	tikkie doun we zo voak
wav/HS-ach-tou-k-bin-nog-zo-mooi-aan-t-speulen-nog-eventjes.wav	ach tou k bin nog zo mooi aan t speulen nog eventjes
wav/HS-der-was-inbroken-in-borg.wav	der was inbroken in börg
wav/GD-ze-stak-heur-haand-uut-en-vuilde-of-ze-de-toverstaine-vinden-kon.wav	ze stak heur haand uut en vuilde of ze de toverstaine vinden kon
